garment class,class score,classic,polo,undershirt,henley,ringer,raglan,rugby,sailor,crop,halter,camisole,tank,peasant,tube,tunic,smock,hoodie,blazer,pea,puffer,biker,trucker,bomber,anorak,safari,mao,nehru,norfolk,classic military,track,windbreaker,chanel,bolero,tuxedo,varsity,crop,jeans,sweatpants,leggings,hip-huggers,cargo,culottes,capri,harem,sailor,jodhpur,peg,camo,track,crop,short,booty,bermuda,cargo,trunks,boardshorts,skort,roll-up,tie-up,culotte,lounge,bloomers,tutu,kilt,wrap,skater,cargo,hobble,sheath,ball gown,gypsy,rah-rah,prairie,flamenco,accordion,sarong,tulip,dirndl,godet,blanket,parka,trench,pea,shearling,teddy bear,puffer,duster,raincoat,kimono,robe,dress (coat ),duffle,wrap,military,swing,halter,wrap,chemise,slip,cheongsams,jumper,shift,sheath,shirt,sundress,kaftan,bodycon,nightgown,gown,sweater,tea,blouson,tunic,skater,asymmetrical,symmetrical,peplum,circle,flare,fit and flare,trumpet,mermaid,balloon,bell,bell bottom,bootcut,peg,pencil,straight,a-line,tent,baggy,wide leg,high low,curved,tight,regular,loose,oversized,empire waistline,dropped waistline,high waist,normal waist,low waist,basque,no waistline,above-the-hip,hip,micro,mini,above-the-knee,knee,below the knee,midi,maxi,floor,sleeveless,short,elbow-length,three quarter,wrist-length,asymmetric,regular,shirt,polo,chelsea,banded,mandarin,peter pan,bow,stand-away,jabot,sailor,oversized,notched,peak,shawl,napoleon,oversized,collarless,asymmetric,crew,round,v-neck,surplice,oval,u-neck,sweetheart,queen anne,boat,scoop,square,plunging,keyhole,halter,crossover,choker,high,turtle,cowl,straight across,illusion,off-the-shoulder,one shoulder,set-in sleeve,dropped-shoulder sleeve,ragla,cap,tulip,puff,bell,circular flounce,poet,"dolma, batwing",bishop,leg of mutto,kimono,cargo,patch,welt,kangaroo,seam,slash,curved,flap,single breasted,double breasted,lace up,wrapping,zip-up,fly,chained,buckled,toggled,no opening,plastic,rubber,metal,feather,gem,bone,ivory,fur,suede,shearling,crocodile,snakeskin,wood,non-textile material,burnout,distressed,washed,embossed,frayed,printed,ruched,quilted,pleat,gathering,smocking,tiered,cutout,slit,perforated,lining,applique,bead,rivet,sequin,no special manufacturing technique,plain,abstract,cartoon,"letters, numbers",camouflage,check,dot,fair isle,floral,geometric,paisley,stripe,houndstooth,herringbone,chevron,argyle,leopard,snakeskin,cheetah,peacock,zebra,giraffe,toile de jouy,plant
"top, t-shirt, sweatshirt",0.6541352,0.030536478,0.015312493,0.0011726186,0.0011146755,0.0002134428,0.007222722,0.00018012758,2.2765451e-05,0.00065169384,0.00048821163,0.00013999683,0.003080841,0.00011066994,7.11902e-05,0.0020995073,4.5305704e-05,0.06457834,0.0002603569,2.4478404e-05,2.2867129e-05,3.7530674e-06,6.0362156e-05,2.7736543e-05,8.180809e-05,3.9423435e-06,3.7892936e-05,4.8630077e-06,6.260071e-06,1.2920722e-05,5.5992517e-05,6.453439e-05,7.4479253e-06,5.052948e-06,9.546612e-06,2.910303e-05,5.0459266e-06,1.1544477e-06,6.7731565e-07,5.089763e-07,9.523105e-08,6.914746e-07,1.1295713e-06,9.6431e-08,1.9275892e-07,6.2635104e-06,2.5894207e-07,1.094114e-07,1.3480054e-07,6.8318997e-07,2.3129061e-07,4.70909e-06,5.320847e-08,1.3166426e-05,8.239822e-07,8.28739e-05,5.4890593e-06,3.2373993e-07,9.1123553e-07,5.125662e-06,3.3805934e-06,6.683997e-06,3.602543e-07,2.6751735e-08,4.7200598e-07,3.2931052e-06,7.0679102e-06,3.546809e-07,2.392554e-06,9.786487e-06,2.448876e-06,5.4002175e-08,8.834679e-06,4.578099e-07,1.5316841e-07,6.6564644e-07,4.5697416e-08,2.0843599e-07,7.4117534e-06,1.8813711e-06,0.00011004937,6.036258e-06,2.4028118e-06,3.2781263e-05,3.7635334e-06,9.32906e-06,1.3907948e-06,4.0139157e-06,1.9663473e-06,6.219114e-06,2.2749187e-07,2.4416306e-06,1.1705644e-05,4.2695413e-07,6.4891065e-06,5.849684e-06,2.9859666e-05,3.6595327e-07,2.558304e-06,1.9042326e-06,3.2453047e-06,1.5531451e-06,0.0008051229,8.0756894e-05,0.0005151508,4.1598396e-06,4.355862e-06,3.624209e-05,1.013722e-06,6.19582e-05,0.00016970598,3.0061273e-07,1.7877201e-06,0.00016019381,0.000118412274,0.0022551762,0.84666795,0.000104916784,7.502724e-05,0.0002740026,0.00032310456,3.4277873e-05,6.1396117e-06,1.51591885e-05,2.2651757e-05,1.1689548e-07,5.481258e-07,7.211327e-06,5.1316e-05,0.0070361234,0.00016562355,0.00014120911,1.3330421e-06,4.4343537e-06,2.844553e-05,1.9546416e-05,0.006276487,0.23069365,0.042250678,0.0054668086,5.428481e-05,0.0012147629,0.00092319027,0.0045609865,4.281891e-05,9.12707e-06,0.98198384,0.38446423,0.49554467,0.01100078,0.021925798,0.0019574342,0.0005262282,7.599609e-05,8.531541e-06,8.39238e-06,3.4821765e-05,3.4777274e-06,1.3656822e-05,3.5815167e-06,3.5456126e-06,6.884836e-05,5.626305e-07,9.74692e-06,7.419158e-06,5.2556065e-06,3.619493e-06,3.206658e-06,1.8037842e-07,1.7753954e-06,1.0557923e-06,9.3469004e-07,6.237976e-08,1.3900097e-06,4.3990567e-06,2.7888387e-05,4.198419e-06,1.8172175e-05,4.989338e-06,1.9680096e-05,2.7695784e-05,2.3156106e-06,8.4613075e-06,7.364624e-05,0.00023317075,4.5507595e-06,9.634652e-06,2.9399918e-05,9.123763e-06,8.711782e-06,3.7742298e-06,1.7594084e-05,2.5767251e-05,9.613231e-06,1.0302357e-05,2.476906e-06,7.05525e-06,1.0745812e-05,8.708875e-06,1.2650217e-05,3.1910644e-05,1.2567059e-05,7.388933e-07,4.90091e-06,5.270913e-07,3.9060822e-05,1.0417099e-05,8.768135e-06,1.3064725e-05,8.101807e-06,2.768083e-06,3.1743298e-06,3.0678061e-06,1.3839583e-06,5.0565586e-06,4.590582e-06,1.1809041e-06,1.0553915e-06,9.269865e-07,4.874934e-05,5.3660547e-06,2.160875e-05,8.102316e-06,2.8478562e-05,1.0291761e-05,0.00012993043,0.008861178,2.8728586e-05,0.0004248352,0.00020284593,0.0005661627,1.3970831e-05,5.0813624e-06,2.5226238e-05,9.827974e-05,0.00066253863,0.002146281,0.0051164175,0.00035367688,1.7092423e-05,0.0001715915,2.0726145e-06,2.365929e-07,0.00034284111,1.948643e-05,1.6925545e-05,7.482062e-06,1.989444e-05,5.6911726e-06,0.9703359,0.0008697274,0.00085680187,0.00011492198,0.00034401275,3.350765e-05,0.79141873,0.00012583977,5.1788935e-05,0.00039566308,0.0006463902,3.557833e-05,3.724324e-05,0.01011717,0.0005684586,0.0006716576,0.0014923193,0.004624059,0.00024289566,0.0002093836,0.0007849827,0.34177822,0.38929403,0.028788634,0.10062047,0.13598952,0.0009904725,0.00023289435,0.006494113,0.001396115,0.0014760414,0.042264793,0.000458482,0.003519043,0.00027237943,0.00026485932,0.00014520355,0.0016258724,5.6085988e-05,0.00023496662,0.00013398466,4.4579014e-05,0.00036785702,0.00018748218,0.0001257432,0.0075581963
collar,0.58269024,1.628895e-05,1.920504e-06,1.0290997e-06,1.048337e-07,5.9033727e-07,1.1235409e-06,8.874681e-08,1.4867668e-06,7.093679e-06,1.4696192e-06,3.3749322e-07,2.8258216e-06,1.4389897e-07,2.630494e-07,3.4572736e-07,3.7736715e-08,3.4357556e-06,2.5675652e-06,7.964337e-08,1.0090758e-06,1.2252297e-06,4.5838968e-07,3.108628e-06,1.3852691e-07,8.933404e-09,1.5754776e-07,1.0053742e-07,8.963003e-08,1.7997884e-08,6.237896e-06,4.4763914e-07,4.9080903e-08,6.855049e-06,2.7432506e-08,2.0844147e-06,1.7428887e-06,2.330442e-07,7.9492276e-07,7.9034265e-07,1.0039773e-07,8.4407056e-08,4.2899816e-07,4.914849e-07,6.638581e-08,1.1762979e-06,5.7008954e-08,1.447776e-07,8.05233e-09,3.272038e-08,4.814803e-07,8.0957443e-07,2.34936e-08,1.6571691e-07,9.50927e-09,2.884591e-08,1.1744531e-08,6.5682233e-09,1.1511095e-07,1.878651e-08,1.7073016e-07,8.0633214e-07,1.5972363e-08,9.902499e-08,3.5116635e-08,1.6545509e-07,1.4104456e-06,1.3492756e-08,2.5070162e-06,7.023315e-06,2.4555854e-06,9.607209e-08,8.010298e-07,8.31211e-08,4.7921365e-08,7.240844e-07,3.4098395e-08,1.0832143e-08,2.500741e-06,7.989899e-08,1.4162254e-06,2.0353906e-07,2.1201318e-07,2.640258e-07,7.0190955e-09,4.0066234e-07,3.251384e-08,1.62232e-07,3.894894e-08,1.3458128e-07,9.5699875e-09,4.3826404e-08,8.121141e-08,1.8386555e-07,1.19376e-07,1.9326265e-08,1.870512e-07,2.1240128e-08,1.1982642e-07,1.3257096e-08,6.0482885e-09,1.76502e-07,6.6456955e-06,6.7595346e-07,2.391701e-06,3.322285e-08,4.6059436e-06,1.6383416e-08,5.2879457e-08,1.2879927e-05,1.6848286e-07,5.5584348e-08,3.5326842e-08,3.0862936e-06,9.531856e-06,5.3578883e-06,7.181759e-05,1.01258706e-07,9.0778085e-06,9.345427e-06,3.9735667e-05,6.178656e-07,7.462619e-08,7.848971e-08,5.191316e-06,6.043125e-08,1.3744373e-08,1.1420071e-06,1.429383e-06,1.1604764e-05,8.168231e-06,3.045873e-07,1.0255965e-07,1.5065419e-06,1.33755e-06,4.4679254e-07,1.4718616e-05,3.3972974e-05,5.74534e-06,1.4039561e-05,1.9979282e-06,1.3252347e-07,5.9223847e-05,4.5127403e-05,3.1269112e-06,1.5708028e-07,0.00024344143,5.2583986e-05,1.05783065e-05,9.463743e-06,9.632375e-06,1.2381622e-05,2.8647155e-06,1.0388559e-06,2.4520332e-06,3.6404128e-06,2.9629946e-06,5.709284e-05,0.0004025447,1.2988881e-05,7.831677e-06,6.6777626e-05,0.000116306874,0.2608159,0.6267994,0.053305045,0.0020493094,0.0021784916,0.004164492,0.0009589901,0.00016453933,0.0014800738,2.3380146e-05,0.00022026271,0.00028730102,0.0045945966,2.7611632e-05,7.740638e-05,0.00010006439,2.5361243e-05,0.0003273464,4.0975e-06,3.5050383e-05,0.00023137714,0.0010767967,9.190568e-05,0.00012078064,2.6415946e-05,1.6127626e-05,7.676253e-06,1.7932109e-05,4.0122115e-05,2.0286961e-06,3.5337915e-05,4.1726777e-05,5.028048e-05,1.976002e-05,3.0991716e-05,0.00046122167,2.4116935e-05,1.3998423e-05,2.4462502e-06,1.4327239e-06,3.8807534e-06,1.3960171e-06,8.5615175e-05,4.2334083e-05,2.561056e-05,8.23501e-05,1.0629658e-05,9.802609e-06,6.2671734e-06,5.44905e-06,2.938821e-06,7.2515744e-05,1.0363066e-05,1.3787638e-06,6.6042185e-06,4.01144e-06,1.4838778e-05,4.0147233e-06,2.738115e-06,2.666225e-05,1.3189487e-05,2.7366166e-06,7.742679e-06,0.00012279185,7.296222e-07,3.7147418e-06,5.6715426e-06,4.3971653e-05,3.173434e-06,1.11323155e-08,9.1733375e-07,3.8522649e-07,7.453071e-05,2.7551032e-05,2.1421006e-06,3.7956193e-05,3.993043e-08,3.918362e-06,3.4526074e-08,1.4390001e-08,1.8769731e-06,2.773936e-08,1.06765654e-07,3.628458e-07,2.9568975e-08,1.1383759e-07,6.862354e-05,4.1441594e-06,2.27725e-07,3.75354e-06,3.274764e-07,1.6387361e-07,0.0003332254,9.108394e-07,4.3199907e-06,1.2720869e-05,5.0362446e-06,6.581525e-07,7.4478876e-08,2.9797218e-06,1.2878576e-05,1.2602997e-06,1.7529168e-05,1.2917925e-05,4.3487726e-06,1.7053341e-06,4.3803984e-06,5.646879e-05,3.206836e-05,1.0902434e-05,2.1967166e-05,9.6712265e-06,2.1660546e-07,1.26138975e-05,3.897458e-06,3.3968618e-06,2.1619776e-06,6.536652e-06,3.0941976e-06,3.2263913e-05,5.4640323e-06,2.245673e-06,5.476291e-06,1.7207023e-05,1.490357e-06,3.7842028e-07,5.3730755e-06,1.0929039e-06,3.823136e-07,8.160073e-07,4.6213036e-06,9.903961e-06
sleeve,0.57292205,2.3108845e-05,8.8417664e-07,2.3873688e-06,1.0121522e-08,4.5943915e-07,1.6507714e-07,3.2796493e-07,2.1793871e-06,1.38372525e-05,2.0238556e-06,1.2802202e-05,2.4717838e-05,9.257849e-07,1.4532248e-05,1.6297914e-06,3.9352108e-07,4.4871965e-07,0.00011840246,3.9970814e-06,1.8613808e-06,4.130222e-05,1.6988533e-05,2.7824199e-06,3.9125038e-07,1.5454472e-07,2.3850652e-07,1.930435e-07,4.6740342e-06,2.58751e-07,2.0124655e-06,4.76884e-07,1.8921855e-07,1.40770335e-05,1.7773741e-06,2.480009e-07,4.447165e-06,4.673125e-06,2.5317945e-07,2.7854785e-06,6.992854e-08,2.5469862e-07,1.8072947e-06,4.737291e-07,6.455957e-08,2.5997365e-06,4.472794e-07,1.6056336e-07,1.8037618e-07,1.55686e-07,4.156164e-06,3.8538815e-06,1.6801783e-07,4.9066484e-06,3.1693663e-08,7.9547635e-07,1.9159678e-07,7.028798e-08,7.303929e-07,1.1288616e-06,3.382488e-07,2.6957417e-07,6.3109384e-09,2.8335424e-07,2.3627362e-07,3.922071e-06,1.794284e-06,1.7298896e-07,3.1831374e-07,3.6622284e-06,1.1207007e-06,2.1811286e-07,9.2779396e-07,7.5606505e-07,3.530428e-08,1.9697409e-06,1.987746e-07,3.394422e-07,5.8056344e-06,2.1625168e-07,3.0582763e-05,4.3707283e-07,2.095013e-06,3.70609e-06,1.5308227e-06,1.2185202e-05,6.9262694e-07,1.1554886e-06,7.182277e-08,3.8531175e-07,8.7088246e-08,1.1911024e-07,6.5533965e-07,1.2676454e-06,1.1797817e-06,1.7349585e-06,6.208341e-06,1.0722502e-05,8.050304e-06,2.50102e-06,1.618341e-06,1.526771e-06,1.8167064e-05,3.168289e-05,1.3068028e-05,7.835247e-07,9.829017e-06,3.5830576e-06,1.424935e-06,1.6409489e-05,2.0568368e-05,2.6765113e-07,5.503404e-07,2.1051243e-05,1.8035962e-06,9.721872e-05,0.00034701664,1.8731231e-06,8.0355085e-06,1.3868787e-05,2.1585638e-06,4.624429e-06,2.8717454e-06,7.2165915e-07,1.3901442e-05,2.869676e-07,5.878743e-07,1.0685361e-06,4.4065605e-06,2.1153375e-05,2.0583338e-05,1.0176215e-05,1.1433056e-07,2.1997505e-06,2.9209607e-06,6.76563e-06,7.70019e-05,5.7884397e-05,5.103139e-05,4.466757e-05,5.5434284e-06,2.8358205e-05,0.00021847629,0.00029088435,1.572924e-06,2.1586359e-06,0.0010989802,0.00037319583,4.531556e-05,3.2399083e-05,0.00024192725,3.136809e-05,1.4602196e-05,7.3328624e-06,1.9895446e-05,6.437937e-05,4.6732994e-06,0.0003603983,0.012788785,0.00038895704,0.0004326622,0.987082,4.3048584e-07,1.0645124e-06,1.1253468e-06,1.3908027e-06,1.141418e-06,4.3351227e-07,2.9798704e-07,5.4547047e-07,1.724158e-06,1.566517e-06,3.2205705e-07,4.723221e-07,3.9785073e-06,7.714554e-06,2.662786e-06,1.2768147e-05,7.275058e-07,1.9908826e-05,3.990568e-06,2.4720806e-05,1.6256703e-05,0.00019893222,0.00011738876,7.777826e-06,0.00021936778,7.266138e-05,4.2630636e-05,0.0001800225,1.3897637e-05,0.00010976096,3.0378826e-05,3.7323985e-05,1.9474244e-05,1.19649385e-05,1.6971853e-05,3.4639113e-06,8.693424e-06,6.227558e-05,2.2317454e-05,1.4956956e-05,5.006807e-06,3.9069128e-05,4.1315103e-05,0.79364413,0.032960147,0.014432693,0.0005860891,9.517632e-06,0.001522879,0.0015995328,9.3951465e-05,0.00042420608,0.011385074,0.0015705283,0.00019306512,0.0004985136,4.3535928e-07,5.6597855e-05,1.7783537e-05,1.9624752e-06,4.5433267e-06,3.3470955e-05,2.4476885e-05,3.1843156e-05,0.00010034838,9.451746e-06,2.668077e-05,0.00012005791,7.811267e-05,5.2697296e-06,5.2506766e-06,8.600112e-06,2.603694e-06,3.1235075e-05,7.8306504e-05,3.0564366e-05,3.162333e-05,8.863387e-07,7.0263836e-06,4.2536468e-07,8.3477154e-08,4.7947477e-05,6.248589e-06,9.77109e-06,1.2177744e-05,2.6484265e-06,1.3388939e-06,0.00043724084,1.1208418e-05,5.3099986e-05,2.0016272e-05,1.7268746e-06,4.8300485e-06,0.0002950381,1.1898248e-05,4.060537e-06,1.6796033e-06,2.3405466e-05,9.974016e-06,1.3551428e-06,2.7410144e-05,1.4804092e-05,4.230192e-05,0.00022370135,1.7859236e-05,8.051034e-06,4.6221853e-06,1.282098e-05,0.00018556604,0.00041699584,1.8083438e-05,5.285325e-05,8.78741e-05,1.9257861e-06,2.6774465e-05,1.6303078e-05,1.8024744e-05,6.2548193e-06,9.087801e-05,2.8039434e-05,0.0001845384,2.506693e-05,1.03369e-05,1.2550924e-05,2.6534929e-06,3.3465913e-05,1.2598064e-05,1.4381873e-05,1.3641064e-06,1.6756148e-06,6.600497e-06,4.890797e-06,4.638904e-06
